"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0260027",-4.14313429983787,3.63656438630734,-9.02363399387464,2.41718157447565e-07,0.00119794663791161,6.82585764178856
"FBgn0034335",4.26198527864179,8.09265908567297,8.95569984527095,2.65590652457957e-07,0.00119794663791161,6.84864652935524
"FBgn0029863",-1.49630466977023,5.50155106136924,-7.29677325948041,3.1348211559057e-06,0.00801567062054192,4.77267335193975
"FBgn0034291",7.56386461962219,5.66467680268859,7.218126926409,3.55422707927809e-06,0.00801567062054192,4.63246625202303
"FBgn0053301",3.73137791822261,7.02761006155386,6.98634560859442,5.17046439246153e-06,0.00932855185687909,4.2920132637524
"FBgn0039355",-2.30305831062548,1.48595237215423,-6.62085999028619,9.47528134743189e-06,0.0142460855058638,3.11520974174649
"FBgn0035708",2.31906995458584,3.83618718351293,6.31493196068746,1.59544149401551e-05,0.0171780052992249,3.24858799485412
"FBgn0039003",1.35846263266071,3.12188978631729,6.29691473343199,1.64582043547483e-05,0.0171780052992249,3.19407740276216
"FBgn0053158",2.105612884551,4.47887414524346,6.27349637928606,1.71380165938393e-05,0.0171780052992249,3.19353439118419
"FBgn0038032",-1.56946041387219,5.43115813627373,-6.03759256295679,2.58743090567742e-05,0.023341214200116,2.83287264231847
"FBgn0034053",-1.69574913206722,3.77035535043587,-5.94514600392128,3.04712632946035e-05,0.0249892060164198,2.67325886251489
"FBgn0010278",1.53797096736688,4.8303389877678,5.85560059337044,3.5741376460011e-05,0.0253791370545037,2.53182617720053
"FBgn0058100",-8.48801109614131,1.08504669048818,-5.80923774436479,3.8835615184409e-05,0.0253791370545037,1.14331908956686
"FBgn0004509",1.32748792626058,4.67612110552015,5.77090568802748,4.16044586903306e-05,0.0253791370545037,2.39053702189015
"FBgn0010019",-6.74136385173371,3.35504541346638,-5.76300763180479,4.22000948694773e-05,0.0253791370545037,2.24564901066251
"FBgn0036187",1.9466337791624,4.11459564578305,5.66027416539447,5.08104278953793e-05,0.0286475543777635,2.19955968421685
"FBgn0051472",1.48572688338385,6.75005105406987,5.59031360238576,5.77065115555559e-05,0.0306217906319217,2.07844903865265
"FBgn0040010",1.2205649307084,5.13186323549161,5.49831734189001,6.82878810135308e-05,0.0342236097012812,1.92470437526406
"FBgn0260755",1.39016201647806,4.1583808601911,5.43947286032612,7.60978444780282e-05,0.0361304555282259,1.82288798690298
"FBgn0034290",3.88266457866755,5.86244791329979,5.2326584146992,0.000111748314823347,0.0481978247444544,1.46226948963859
"FBgn0034527",1.01332859948525,3.97026616320699,5.23050404117956,0.000112199791556761,0.0481978247444544,1.45763719807008
"FBgn0023495",7.63928815251172,2.74519619178718,5.17384968577183,0.000124776846753387,0.0489761299549106,0.959730857882223
"FBgn0031643",1.59316158421567,5.56319203704307,5.17345312355308,0.000124869857993897,0.0489761299549106,1.35832436484219
"FBgn0038953",1.78045696679208,3.91005958917346,5.08433698176573,0.000147707050018205,0.0555193874255928,1.20196737181442
"FBgn0038302",1.31984566298812,5.69596271575898,5.03093360194672,0.000163426339497591,0.0573163509438017,1.10294144570455
"FBgn0027508",1.08667426742632,3.28007252783746,5.02526015901647,0.000165195114126909,0.0573163509438017,1.09824419080696
"FBgn0034756",2.59440330269294,5.6536093828988,5.00494144252706,0.000171693912823711,0.0573648439845443,1.05934715216859
"FBgn0052649",0.977506302183595,3.9905961328702,4.92774609468507,0.000198894480610802,0.063647090931007,0.916753431785277
"FBgn0038344",1.29043018692485,2.89491906916558,4.91292417839474,0.000204607652920874,0.063647090931007,0.898164477556289
"FBgn0263748",-1.86680757212756,7.54219698991755,-4.88810147380899,0.000214558363395277,0.0645176998729597,0.853836507661265
"FBgn0033781",-1.26743932698275,4.28765092179154,-4.84309616890632,0.000233894106793463,0.0653062324865221,0.761930739284695
"FBgn0031115",1.05370863599253,4.53873485296033,4.83360127375195,0.000238198274360719,0.0653062324865221,0.742704083085839
"FBgn0053282",-2.48030234588477,1.52967157541772,-4.82986767069024,0.000239913085508626,0.0653062324865221,0.561055384610797
"FBgn0011703",2.01448014309636,2.15836314599485,4.79465536224812,0.000256726206302132,0.0653062324865221,0.632173900340299
"FBgn0036362",-6.00666200469571,5.05488745992599,-4.78624342252355,0.000260919685716316,0.0653062324865221,0.672572909015592
"FBgn0053533",2.14007535995535,9.55756666983417,4.7661969019747,0.000271200384488741,0.0653062324865221,0.635381576294247
"FBgn0085790",1.63707711424468,0.673885683817186,4.76490815141839,0.000271875433950118,0.0653062324865221,0.201073475477818
"FBgn0038313",1.07141896559537,3.26837755317908,4.75880565083311,0.00027509553646911,0.0653062324865221,0.625445211514235
"FBgn0028473",1.04216737119373,7.93919567763568,4.70846299761172,0.000303206750278487,0.069063699105902,0.53048653895377
"FBgn0051469",2.58640980735862,4.10489141686162,4.69772309020636,0.000309577699519277,0.069063699105902,0.504356473425306
"FBgn0266737",2.1058439080528,1.75274861482956,4.67518243112453,0.000323401217130536,0.069063699105902,0.345382874490411
"FBgn0053532",4.10225026186714,7.40652741767764,4.66830651916236,0.000327743341478703,0.069063699105902,0.455782652232354
"FBgn0042206",2.35929772325119,5.17849131811374,4.66478803386434,0.000329988431007692,0.069063699105902,0.438303665022216
"FBgn0037345",2.31453595969976,4.1508578253149,4.6541720798338,0.000336858747440382,0.069063699105902,0.436645079305449
"FBgn0038332",1.27038461777538,2.2850586980066,4.54819410814101,0.000414075451673016,0.0819918649447887,0.237552701252082
"FBgn0036144",-1.07051260715069,2.95993624372423,-4.53735215164981,0.000422939920193273,0.0819918649447887,0.229776678534628
"FBgn0032160",-0.999580847684173,5.87768452821381,-4.52824423607986,0.000430537244230724,0.0819918649447887,0.189034867062655
