"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0260027",-4.15037515858525,3.63655173914242,-8.98930400513409,2.51645098035597e-07,0.00122555630587121,6.74835607543516
"FBgn0034335",4.25748288405776,8.09395415732828,8.93413071376336,2.71711851429156e-07,0.00122555630587121,6.78974954636463
"FBgn0029863",-1.49624207449584,5.50260351305087,-7.33825265773979,2.91899141848261e-06,0.00789026310740571,4.82161185608986
"FBgn0034291",7.5536208783451,5.66583943882646,7.22466154092815,3.49862015626015e-06,0.00789026310740571,4.62942903044809
"FBgn0053301",3.72905435100823,7.02755728165967,6.98024062727283,5.19610886246481e-06,0.00937481960965901,4.2715761236189
"FBgn0035708",2.33002798364087,3.83756622074739,6.3778427167176,1.42565182835086e-05,0.0167842185725387,3.33898497564244
"FBgn0039003",1.36928346234722,3.12488201675485,6.36408083685526,1.45975354226921e-05,0.0167842185725387,3.28855137308148
"FBgn0053158",2.09766426278161,4.479225968236,6.29188931327062,1.6531747412326e-05,0.0167842185725387,3.21684678799891
"FBgn0039355",-2.28924891471488,1.49348391275881,-6.28447168879347,1.67451465638896e-05,0.0167842185725387,2.41519663789569
"FBgn0038032",-1.56331987566702,5.43070261461377,-6.0311420798363,2.60679256023796e-05,0.0235158756859067,2.82098978326934
"FBgn0034053",-1.69527250299455,3.76977938614224,-5.97204874409365,2.89399848651205e-05,0.0237334184971139,2.71533156435136
"FBgn0010278",1.53910338117985,4.83080300694261,5.8873451691973,3.3645508513865e-05,0.025293011025298,2.58464478210766
"FBgn0004509",1.32475910571868,4.67549792066686,5.77995215097619,4.07848181543325e-05,0.0283015265054026,2.40672169034031
"FBgn0036187",1.93717080464363,4.11868271396443,5.6260967209828,5.38791711914895e-05,0.0337893426456343,2.14200946326953
"FBgn0051472",1.4868102345693,6.74968629222597,5.60309876937441,5.61844739701269e-05,0.0337893426456343,2.09927459297429
"FBgn0040010",1.2228928544974,5.13350234575554,5.52541621617683,6.47599577849025e-05,0.0365124736986003,1.97374300439469
"FBgn0260755",1.38686002032545,4.1590792312412,5.44568445233363,7.49878294616118e-05,0.0378006641933336,1.83604338743676
"FBgn0058100",-10.999548992677,0.525426520996728,-5.44253085602986,7.54253359361495e-05,0.0378006641933336,-1.08669565086421
"FBgn0010019",-6.98378520149198,3.3017740645738,-5.38263435199704,8.42581374579793e-05,0.0400048767372859,1.49216079899539
"FBgn0034527",1.01422758008848,3.96934054041616,5.26796296728297,0.000104294855984528,0.0464383835508502,1.52684057217423
"FBgn0034290",3.88147735450576,5.86252498116116,5.24877194383255,0.000108103985652129,0.0464383835508502,1.49340719074651
"FBgn0031643",1.59982686834923,5.56396574008994,5.20843731766365,0.000116587519686503,0.0478061825041793,1.42278377628195
"FBgn0038953",1.77909358016257,3.91181444174721,5.11018331799493,0.000140267630900883,0.0550154042763853,1.25023987484323
"FBgn0038302",1.32709352160116,5.69573447398149,5.05852111521559,0.000154666405486072,0.0581352351620774,1.15681222383324
"FBgn0027508",1.07164988719525,3.28288106257385,5.03461378926941,0.000161839385508095,0.0581868636289632,1.11698782675216
"FBgn0034756",2.59673480639403,5.65289945626122,5.0158678140958,0.000167704074310281,0.0581868636289632,1.08281212496312
"FBgn0052649",0.984626726011431,3.98991452331665,4.9407727317083,0.000193491532576339,0.0646476709396723,0.945479366581803
"FBgn0031115",1.05687392486109,4.53963151961366,4.88235023414059,0.000216369206520296,0.0677813998024245,0.837473041299643
"FBgn0263748",-1.8645316796218,7.54304611502522,-4.87867585656698,0.000217898303322283,0.0677813998024245,0.840512287333726
"FBgn0033781",-1.2673418244793,4.28835599613668,-4.83242599574855,0.00023812777862583,0.0716050230327871,0.748523812695808
"FBgn0036362",-6.01255944289324,5.05730835286182,-4.79857117787366,0.000254157404788618,0.0729752330037856,0.69805734867813
"FBgn0053533",2.14110600252399,9.5579037597565,4.77901976422607,0.000263917717325288,0.0729752330037856,0.662602898383796
"FBgn0038344",1.27559395179621,2.89541548129301,4.77309143573553,0.000266952964097653,0.0729752330037856,0.652607825983208
"FBgn0038313",1.06517174801306,3.27183047895785,4.73449227535052,0.000287615700402176,0.0744755016173444,0.584564753456911
"FBgn0028473",1.04184092702481,7.94015885081537,4.70824634906925,0.00030260113216108,0.0744755016173444,0.534795071594783
"FBgn0011703",2.00490870665032,2.16649940856989,4.70231641603512,0.00030609692282478,0.0744755016173444,0.448480906208406
"FBgn0051469",2.58284637738919,4.105386677642,4.68953504216022,0.000313773923573857,0.0744755016173444,0.494985983161389
"FBgn0037345",2.31123066652682,4.15750737490703,4.68127394142417,0.00031884112461815,0.0744755016173444,0.488813505364632
"FBgn0042206",2.36899249251409,5.17961743688502,4.67618618911452,0.000322003713476201,0.0744755016173444,0.465876559471077
"FBgn0053532",4.10902608616167,7.40694207525573,4.66318693966499,0.000330231688803212,0.0744755016173444,0.451862806168817
"FBgn0036144",-1.07523175996575,2.96286398492923,-4.58176367424105,0.000386936120687839,0.084625369208038,0.312107999847433
"FBgn0027554",0.900985909275287,4.26555224754865,4.57039049546695,0.000395618839308718,0.084625369208038,0.270979559074639
"FBgn0032160",-0.999362701670123,5.87863575613826,-4.55345526627713,0.000408920679275739,0.084625369208038,0.242781570809461
"FBgn0263395",0.805677258316987,3.85727208792733,4.54152561131919,0.000418566125022837,0.084625369208038,0.21865838296741
"FBgn0038332",1.26047348964845,2.28798869876075,4.53717472617748,0.000422141848393938,0.084625369208038,0.212584132218826
"FBgn0004698",0.926021327854781,3.37737601537419,4.51212521334963,0.000443347906023795,0.0869443795704489,0.177668217273581
"FBgn0016926",-1.23459753088713,6.63179727578628,-4.49179194669463,0.000461364335313255,0.0885525035927846,0.13650476372776
"FBgn0029911",0.743928035774492,4.59016622542495,4.45840002776932,0.000492598944561812,0.0903835607514602,0.0576584710469907
"FBgn0052641",2.09262719723755,6.89640471107885,4.45717034589127,0.000493789768696251,0.0903835607514602,0.0729250690236825
"FBgn0004047",-2.1489771725358,6.83976955163481,-4.44982785214727,0.000500961981772864,0.0903835607514602,0.060089912927193
"FBgn0015872",1.19042708364292,5.77415531878483,4.41957486188684,0.000531659201943298,0.0940411306025587,-0.00662428312988794
"FBgn0266812",1.57995266442855,2.44060405451424,4.38037347338382,0.000574327798971609,0.0985206473884049,-0.0551874992188468
"FBgn0000256",1.40953290538276,5.73525851652559,4.36657954134952,0.000590163434141207,0.0985206473884049,-0.103784904166298
"FBgn0037468",1.30117050803677,6.4873986182676,4.35794434903948,0.000600303783754723,0.0985206473884049,-0.113603263291064
"FBgn0053282",-2.47134477241607,1.53785921572231,-4.35551573635427,0.000603187750187657,0.0985206473884049,-0.3137341181711
"FBgn0034113",0.833378874140535,2.27379842726253,4.34380202596335,0.000617298330723196,0.0985206473884049,-0.119935409127933
"FBgn0266737",2.08079062216811,1.76121468129053,4.3317260839715,0.000632199449684651,0.0985206473884049,-0.296571434654767
"FBgn0010113",1.33062024461346,1.69181986499343,4.33073964112541,0.000633432828791429,0.0985206473884049,-0.234442159001425
"FBgn0010044",2.66619456230612,6.23568244488393,4.31832055385066,0.000649173215192813,0.0990332709388056,-0.188069882166197
"FBgn0085790",1.70898184705349,0.647861035490245,4.31096444601288,0.000658684874883975,0.0990332709388056,-0.790718761424491
"FBgn0054010",2.82646260670838,2.69803269008766,4.25615850832326,0.000734192346537542,0.108576215706806,-0.271426200462683
"FBgn0019972",1.21493924605743,4.50795079795221,4.23854704568718,0.000760291426417876,0.110199595091749,-0.353009980073718
"FBgn0038395",-1.6860795020048,1.89137083782907,-4.23241388399028,0.000769601428974639,0.110199595091749,-0.377505920509465
"FBgn0000442",-0.810342317277848,3.22789181892934,-4.21514580289944,0.000796444797238075,0.112261383060698,-0.365453884953096
"FBgn0026403",-1.39455969788646,0.943599394421175,-4.20096815516174,0.000819198166360273,0.113692102442093,-0.776463510911508
"FBgn0028411",1.24864310026301,5.23994540286517,4.18889918795262,0.000839090071141331,0.114688356541908,-0.443595873329349
"FBgn0264305",1.08580712102653,3.02055718658665,4.14517860757503,0.000915372999854099,0.123247460174386,-0.489405843306723
"FBgn0002641",1.55674334564462,5.58713513132691,4.11774106138773,0.000966824650111508,0.126683304613697,-0.569785347401629
"FBgn0037810",0.97637609237259,2.07867713850426,4.11662559825662,0.000968977720690071,0.126683304613697,-0.540948652608568
"FBgn0038020",2.81382008584739,7.02031718056088,4.09289335509883,0.00101596246449855,0.129732342623638,-0.603495984627574
"FBgn0035871",0.783567991697694,7.45374555445105,4.08491140080411,0.00103228162785255,0.129732342623638,-0.612318925083639
"FBgn0038678",-0.812099179245224,4.85070377563319,-4.0670156860963,0.00106984721048041,0.129732342623638,-0.67683806228915
"FBgn0259152",0.990635020820539,4.8725588157188,4.0638808839501,0.00107656955956164,0.129732342623638,-0.681778017278106
"FBgn0039241",1.23388395631166,3.88425059366404,4.06062639511015,0.00108359409278613,0.129732342623638,-0.670621653184457
"FBgn0034641",0.877386125452871,3.84794871998272,4.05140921123265,0.00110374296373386,0.129732342623638,-0.694028343721379
"FBgn0086367",1.14231939953635,3.38315665301673,4.04724644935156,0.00111296746924407,0.129732342623638,-0.665599638219602
"FBgn0260634",1.1347794540004,2.42709544126513,4.0445173263143,0.00111905765381469,0.129732342623638,-0.651066563855322
"FBgn0266376",-0.983792417807203,5.13811938734832,-4.04332474714221,0.00112172960033741,0.129732342623638,-0.719483836726011
"FBgn0011704",1.63508845160976,4.3144916235492,4.02039161754042,0.00117439310143675,0.134103799595708,-0.744120945035715
"FBgn0011638",1.06399862492029,6.0989410899939,4.0045637411199,0.00121220152403562,0.135010484118297,-0.777857495712668
"FBgn0039049",-1.11332847599606,5.51563205029333,-4.00453728880201,0.00121226573701165,0.135010484118297,-0.787487096889004
"FBgn0033904",-2.48907083810636,3.45648715151864,-3.99422995487919,0.0012375519759678,0.135113046241202,-0.777344529276979
