"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0029863",-0.871609769457842,5.50142057704558,-6.59616992769974,9.87168174532943e-06,0.0790845922496747,3.44367735694365
"FBgn0034291",4.24710515766777,5.66486565172191,6.26000563495174,1.75334424675035e-05,0.0790845922496747,2.91110445783615
"FBgn0038032",-0.981519634925577,5.43062604801339,-5.87409679567436,3.4563054279106e-05,0.086800548983752,2.39439803269057
"FBgn0010019",-5.32802769098984,3.35122876149637,-5.81398340965556,3.84882159333786e-05,0.086800548983752,1.43636712654548
"FBgn0033835",-2.00653901192757,4.38085816808693,-5.66124137495824,5.06984957014951e-05,0.0914702259446375,2.06338101723399
"FBgn0023495",3.6109855942356,2.74665776520714,5.41300878217542,7.9874530056974e-05,0.12009135594066,1.33581247048095
"FBgn0034711",1.47108236290801,2.82865839409952,5.10380829010718,0.000142320022417546,0.133712236335575,1.08814445411684
"FBgn0038313",0.664005733875215,3.26891983054311,5.0949776030181,0.000144713506416206,0.133712236335575,1.15046454799369
"FBgn0039355",-1.21795627239381,1.48645086343657,-5.09114996480804,0.00014576386779778,0.133712236335575,0.317763607501877
"FBgn0051469",1.89767408766309,4.10468878569143,5.08229810092547,0.000148223297124016,0.133712236335575,1.08489639719551
"FBgn0034290",2.32138113216151,5.86272873734695,4.93668036771162,0.000195463221390045,0.1602976109236,0.891983629483105
"FBgn0053532",2.61061058001674,7.40667800081179,4.77804966896069,0.000264986965578978,0.176774876675679,0.618351553141224
"FBgn0265137",0.685067834696148,7.36957885278352,4.76608328971508,0.000271172911172222,0.176774876675679,0.609098221261514
"FBgn0058100",-3.76901826066676,1.0900128774916,-4.76005953444921,0.00027434300781061,0.176774876675679,-0.450724396379089
"FBgn0041713",-1.01439893547011,1.49482940550675,-4.71934564115225,0.000296795628403484,0.178492890921855,0.149382669928868
"FBgn0038332",0.848542142616782,2.28639863767198,4.653551042027,0.000337162430421915,0.186241744825488,0.193864516621263
"FBgn0260027",-1.29722762554125,3.63635744762147,-4.63289272604055,0.000350971030044707,0.186241744825488,0.35148561597029
"FBgn0034053",-0.798538364270422,3.76999695606079,-4.52216307946544,0.000435562878794907,0.218289596089381,0.189459980486635
"FBgn0032021",-1.80085921055246,2.67822143257017,-4.40941255141281,0.000543391618870922,0.244207924181983,-0.134347862271375
