"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0034335",2.94524646742157,8.09269282608901,7.95906781151089,1.12321785991768e-06,0.00509673370790138,5.13773369869527
"FBgn0260027",-2.84726374196166,3.63665675970841,-7.81571408428904,1.3958741425907e-06,0.00509673370790138,4.79235595853274
"FBgn0039003",1.16519379542669,3.12189801473606,7.689067889347,1.69495633784549e-06,0.00509673370790138,4.90317396175975
"FBgn0010278",1.36330132864166,4.83061776938934,6.70353795845505,8.24488384884669e-06,0.0185942743001115,3.6701049958081
"FBgn0036187",1.63390056626401,4.11471092365776,6.35998550822244,1.47574968022019e-05,0.0266254757305327,3.17951834419186
"FBgn0035708",1.56408186728557,3.83604220988924,6.03686077633401,2.58972778790329e-05,0.038936557291126,2.69708519864562
"FBgn0053158",1.45983308289663,4.47870551899969,5.92261701758147,3.17034808113805e-05,0.0402517913719236,2.50571728561848
"FBgn0037345",2.03427349771155,4.15061055034882,5.856096859733,3.56960792567773e-05,0.0402517913719236,2.40813234909915
"FBgn0053301",2.37605634511565,7.02758813797792,5.70247258613747,4.70539855778842e-05,0.0420340300414724,2.13173731743481
"FBgn0038344",1.07259953935497,2.89545717610366,5.69026121920847,4.81053395992886e-05,0.0420340300414724,2.08930400412862
"FBgn0031643",1.37509047377485,5.56303635572297,5.65527330611504,5.12553298366253e-05,0.0420340300414724,2.06145739071697
"FBgn0038953",1.41346460181897,3.91016505029884,5.54391175793251,6.27904686545209e-05,0.0472027348110361,1.92578646718139
"FBgn0260755",1.02482204457706,4.15845198901016,5.25668163353008,0.000106806544885215,0.0709159536391506,1.45829744252982
"FBgn0035996",1.11061942870087,3.80216270114375,5.24064555152965,0.00011005690621307,0.0709159536391506,1.43225535155236
"FBgn0034527",0.7654565862145,3.9700228137386,5.1764481133114,0.000124131777889829,0.074652851222943,1.32292607544644
"FBgn0038302",1.02561866823455,5.69590062840333,5.06563378112378,0.000152982033289102,0.0862531826438119,1.13243641302529
"FBgn0011703",1.40989152319626,2.15906826513336,4.93478140679285,0.000196186949070125,0.104106027503624,0.752564788689917
"FBgn0004509",0.848801074104656,4.67621195192089,4.78752406400718,0.000260209856195423,0.130408127415267,0.664424932244088
"FBgn0030855",1.09157036032925,3.76991735590457,4.7233127036444,0.000294546002852811,0.130408127415267,0.552281564144033
"FBgn0053057",1.29743164658283,2.15197924597912,4.69933257984576,0.000308537959280334,0.130408127415267,0.462426062493696
"FBgn0037007",1.21551709910573,6.78836928431499,4.66523099068828,0.000329624679605533,0.130408127415267,0.443670959784161
"FBgn0034641",0.785081002252565,3.84751359500265,4.62840813360725,0.000354066706247955,0.130408127415267,0.37931697094514
"FBgn0027836",1.9489106031493,5.43613421884949,4.61369322320102,0.000364348807536643,0.130408127415267,0.352692505038901
"FBgn0038395",-1.25138248779228,1.87620997658424,-4.6114337915466,0.00036595459067618,0.130408127415267,0.185350421473554
"FBgn0004698",0.740065774325214,3.37611603848912,4.60749159597483,0.000368773773400556,0.130408127415267,0.329124184315675
"FBgn0263748",-1.34684028982123,7.54231354569449,-4.59772119145751,0.000375857589269142,0.130408127415267,0.317595841281911
"FBgn0035871",0.668548970994758,7.45379228302909,4.54268215753392,0.000418461711571593,0.131869454686713,0.223809524306121
"FBgn0031115",0.761179010897979,4.53883202378893,4.53822367824759,0.000422123321922506,0.131869454686713,0.229559828721917
"FBgn0038678",-0.69916796126,4.84841514305783,-4.53604624222108,0.000423923532414885,0.131869454686713,0.22562865280116
"FBgn0259152",0.849928082920876,4.87131474802188,4.47868237310881,0.000474301485152552,0.142622456585372,0.123796305682784
"FBgn0034113",0.638916751467121,2.27386446002922,4.4525310463378,0.000499269808149405,0.145287514171477,-0.0181169868419433
"FBgn0040010",0.747187404473546,5.13192734743756,4.40213843615504,0.000551256246625158,0.155402581275173,-0.0114042714262768
"FBgn0035889",0.973876937080294,3.27876140085877,4.31679696128466,0.000652304424654726,0.175000726806962,-0.167819836926784
