"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0265137",-7.71930015606258,7.36970779031398,-32.8620222824696,4.61139241722316e-15,4.15993709957701e-11,24.1168838563274
"FBgn0033153",-12.4249003693207,7.84546601475938,-27.3963121585152,6.25448226062846e-14,2.82108422365647e-10,21.9251528517545
"FBgn0051633",-8.25166513617399,5.69718456325793,-26.0519666192883,1.28292410243669e-13,3.6357390953292e-10,21.2961804373076
"FBgn0051216",-11.5379433655358,4.89250170428385,-25.6380127137225,1.61212242338065e-13,3.6357390953292e-10,20.8073300193638
"FBgn0264704",-14.382373520371,3.62790915814166,-25.0447859489513,2.25043535048907e-13,4.06023545935239e-10,19.1819949767216
"FBgn0015351",-7.79299863026817,5.02700314413719,-24.49008440913,3.0954992792632e-13,4.65408316637221e-10,20.4827985262769
"FBgn0032805",-6.23263833811602,5.23368885415082,-23.921283405946,4.32376185536733e-13,5.09457467840669e-10,20.224908740708
"FBgn0031033",-14.002931005513,6.0045792150839,-23.8474431719434,4.51796889782214e-13,5.09457467840669e-10,20.0367545203353
"FBgn0041205",-4.99588598674175,6.91232101745123,-23.4698957920961,5.66755606909262e-13,5.68078036658717e-10,19.9562306349055
"FBgn0024360",-5.01918388459498,4.67396233924524,-22.2971593309762,1.1724798699722e-12,9.84915531454251e-10,19.3177105266805
"FBgn0033438",-7.18575489400553,2.99980954488575,-22.1655110038313,1.27504036206026e-12,9.84915531454251e-10,18.8056677985488
"FBgn0033051",-4.89529116526699,5.49942491235288,-22.1230076925821,1.31016366006551e-12,9.84915531454251e-10,19.2152250142847
"FBgn0030839",-4.83210980281821,3.72838760211009,-21.827819924912,1.58447274953366e-12,1.09950220565717e-09,18.9831958010884
"FBgn0051694",-8.16314008323202,7.42622361754946,-21.0663150933006,2.61716204072187e-12,1.6479451882938e-09,18.5470944785755
"FBgn0036766",-5.04515027238532,12.6141456845925,-20.9863951559433,2.76142035614072e-12,1.6479451882938e-09,18.4551293266698
"FBgn0052579",-4.73612799097413,4.03834142660614,-20.8997662180482,2.92741937471065e-12,1.6479451882938e-09,18.4438716082831
"FBgn0001297",-7.06659565286541,7.26466904491583,-20.7914718323292,3.15004736809121e-12,1.6479451882938e-09,18.3727300156614
"FBgn0004644",-6.10864463748106,3.98298493388565,-20.728290698967,3.28821786822841e-12,1.6479451882938e-09,18.2935598074185
"FBgn0031450",-4.06971727876622,5.68685484376646,-20.5229505912562,3.78375310126923e-12,1.66234391310223e-09,18.2178541885459
"FBgn0014018",-7.72002789683195,7.36381452801366,-20.5028023403477,3.83650053812919e-12,1.66234391310223e-09,18.1877666337785
"FBgn0023388",-3.01032177876026,4.47268809764039,-20.4902444407825,3.86977299358684e-12,1.66234391310223e-09,18.2109027477514
"FBgn0027601",-6.82176797959973,5.4866583820275,-20.3040653062053,4.40087586360381e-12,1.80455914388954e-09,18.0627068175899
"FBgn0260450",-3.9936414402685,3.26347199128878,-20.0471497893004,5.2650911439261e-12,2.06506031345032e-09,17.8314837088915
"FBgn0031643",-6.11173155692115,5.56319203704307,-19.8465472848053,6.06535542826596e-12,2.27981547159947e-09,17.7632756373795
"FBgn0040475",-4.56734139917289,6.65995012611055,-19.3760538168913,8.49739121504198e-12,3.06619864603575e-09,17.4287675415972
"FBgn0041180",-4.62775114030617,6.02882622993831,-19.2380986779946,9.39395216383829e-12,3.10952571531441e-09,17.3438078030548
"FBgn0053158",-6.4482797852797,4.47887414524346,-19.2121069273386,9.57388851600834e-12,3.10952571531441e-09,17.3075955787235
"FBgn0016031",-7.27626335082417,5.92800296552572,-19.2010478622175,9.65155969724017e-12,3.10952571531441e-09,17.3112075895377
"FBgn0086346",-4.58559481581785,6.72823201496789,-19.1041502948291,1.03615430565936e-11,3.22315447977692e-09,17.2384975446199
"FBgn0000395",-5.91791389165488,3.22333237960604,-18.7817273187196,1.31538999533432e-11,3.78500711963344e-09,16.8916576707728
"FBgn0040395",-3.71071306774419,3.29989596815043,-18.7651096323483,1.33180359597757e-11,3.78500711963344e-09,16.9692227125286
"FBgn0031662",-7.63717509459743,5.90854648526478,-18.7542502640273,1.34264746511773e-11,3.78500711963344e-09,16.9937718178239
"FBgn0005660",-12.3018742985539,4.15114499455742,-18.5078561082601,1.61577724601967e-11,4.41694743525559e-09,16.4719778935286
"FBgn0015754",-3.19429265510351,6.17925187294213,-18.4536308031666,1.68349798232611e-11,4.46671626428347e-09,16.7809108511477
"FBgn0027561",-4.72757435601551,4.95411420656234,-18.0701886516595,2.25786625592366e-11,5.8194889984821e-09,16.5019704755185
"FBgn0035806",-11.5956642816441,3.4530665427975,-17.7616572073512,2.87142919278432e-11,7.02156754585666e-09,15.8072916692957
"FBgn0261113",-5.90241487471798,10.1979749052343,-17.74671929689,2.90532623991188e-11,7.02156754585666e-09,16.2335636238183
"FBgn0042102",-5.76345342254661,7.29307586674902,-17.7239744145519,2.95776041173432e-11,7.02156754585666e-09,16.2282420841115
"FBgn0028515",-3.86187546356994,6.33398774866815,-17.6504219626784,3.13434040927384e-11,7.2499704697588e-09,16.1759606879078
"FBgn0035996",-5.40115976025423,3.80195529892274,-17.5740563407555,3.32961844615357e-11,7.50912200068784e-09,16.0940640314325
"FBgn0260049",-3.15299930717303,6.46879412831801,-17.534860675892,3.43484661356413e-11,7.55750031730782e-09,16.0856640083042
"FBgn0002973",-3.99592148653415,5.31821366874161,-17.4761003066433,3.59929233785564e-11,7.71295462247769e-09,16.0481389733641
