"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0265137",-7.72017841208465,7.36946524915286,-32.8717392784064,4.59142827229973e-15,4.14192744444158e-11,24.1219026886574
"FBgn0033153",-12.4264531110796,7.84535561723337,-27.4049803321581,6.22576468802625e-14,2.80813116253424e-10,21.9300129603061
"FBgn0051633",-8.25435083528589,5.69653807250725,-26.0677162507466,1.27181160457718e-13,3.58124226866884e-10,21.3046583267698
"FBgn0051216",-11.5349873259709,4.89242851012067,-25.6650481658412,1.58795799519736e-13,3.58124226866884e-10,20.8212442238784
"FBgn0264704",-14.4263501889518,3.62206405600713,-24.5377248338358,3.01084886289239e-13,4.80977743586594e-10,18.8737643776629
"FBgn0015351",-7.79247904718856,5.02687900890554,-24.4333784986209,3.19905383163681e-13,4.80977743586594e-10,20.4543645552562
"FBgn0032805",-6.23620050848703,5.23289757281798,-23.8567201359297,4.49273477327148e-13,5.07100734421049e-10,20.190637661105
"FBgn0031033",-14.0064217175746,6.00358746744492,-23.8551014800153,4.49706892292251e-13,5.07100734421049e-10,20.0419340871579
"FBgn0041205",-4.99599536807489,6.9123792088078,-23.4544164880426,5.72048394900883e-13,5.73383174488985e-10,19.9484299892779
"FBgn0024360",-5.01649205917757,4.67421837614634,-22.3176817416077,1.15721999210182e-12,9.78977621619536e-10,19.3305357868869
"FBgn0033438",-7.18432952294499,3.00023542864118,-22.1410922794439,1.29500391411937e-12,9.78977621619536e-10,18.7815567983794
"FBgn0033051",-4.89561299787336,5.50031607270295,-22.1323498374629,1.30226487744534e-12,9.78977621619536e-10,19.2213397526823
"FBgn0030839",-4.83263947898848,3.72865159702398,-21.777825349779,1.6365969919361e-12,1.13567242032735e-09,18.9542162525598
"FBgn0051694",-8.16344057676015,7.42598058373556,-21.0815314825287,2.59044337244028e-12,1.65522408666513e-09,18.5571744980702
"FBgn0036766",-5.0451159581911,12.6141298642326,-20.9870663812102,2.75998810821774e-12,1.65522408666513e-09,18.4560305305969
"FBgn0052579",-4.73547390752072,4.0392369892754,-20.8815792364411,2.9634039144588e-12,1.65522408666513e-09,18.4330892940535
"FBgn0001297",-7.06657364090038,7.26488248499892,-20.8002099960681,3.13122120145189e-12,1.65522408666513e-09,18.3787927531905
