"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0051633",-4.35955701625223,5.6224917559715,-22.8374476403227,1.12628130120039e-12,8.46263579096208e-09,19.0609577893148
"FBgn0265137",-3.26183915193659,7.27924868065031,-21.9501536989167,1.95813592891464e-12,8.46263579096208e-09,18.5585987223053
"FBgn0051216",-5.82493743416667,4.79890362349888,-20.973553321214,3.69035434477061e-12,8.46263579096208e-09,17.6576168479532
"FBgn0051694",-4.26022583761849,7.32239565691644,-20.9432292976599,3.76535519063941e-12,8.46263579096208e-09,17.9561946495672
"FBgn0015351",-3.72169640883891,4.9694174688186,-18.3367445956996,2.37129827683114e-11,4.2635943017424e-08,16.3312221245719
"FBgn0033153",-5.32925082126149,7.6678161838154,-17.6366391917099,4.05147395280961e-11,4.79047296928864e-08,15.7903328136018
"FBgn0015754",-1.30864172029522,6.14328819637626,-17.5542723167761,4.32053237390095e-11,4.79047296928864e-08,15.8191490646611
"FBgn0031643",-3.45420407953594,5.50003355421449,-17.4914422514118,4.53856899072629e-11,4.79047296928864e-08,15.749075235563
"FBgn0264704",-6.37263314845058,3.48419286355725,-17.4213324413288,4.79580163777506e-11,4.79047296928864e-08,14.6969966797749
"FBgn0032805",-2.66111126429518,5.18832358478374,-16.9104806996558,7.21146178845762e-11,6.4831041478234e-08,15.3260002571771
"FBgn0033438",-3.37923792728359,2.94520880212419,-16.6293737621197,9.06988417104517e-11,7.41256897251783e-08,14.7444435516241
"FBgn0041205",-2.02589278702015,6.84302998482103,-16.4900166256665,1.01750199403642e-10,7.62278577198951e-08,14.9793490060931
"FBgn0027601",-3.26385966008701,5.43016369358529,-16.3671244577657,1.12690559325288e-10,7.79298560257185e-08,14.8879174186974
"FBgn0031450",-1.68149079504636,5.65348075803388,-15.873012045168,1.71122341690358e-10,1.09884989414023e-07,14.5036470315529
"FBgn0030839",-2.43637870186892,3.68236439546757,-15.6287217400762,2.11293704128364e-10,1.266353600076e-07,14.2366366170214
"FBgn0024360",-2.26640191105593,4.636156552049,-15.5183405701571,2.32642001763873e-10,1.30715724741076e-07,14.1983494004171
"FBgn0031033",-6.91180051290797,5.86660344049231,-15.2805326667008,2.86851828112714e-10,1.51693996160782e-07,13.8155250773817
"FBgn0053158",-3.4907121601492,4.41630998106583,-14.7552572940393,4.6041172723684e-10,2.29950079325511e-07,13.5185510479448
"FBgn0033051",-1.87166946109153,5.45918556459491,-14.6856030925277,4.90772848379491e-10,2.32213047733243e-07,13.4741282939766
"FBgn0023388",-1.2672842518867,4.43879203011933,-14.5211751122063,5.71234206110365e-10,2.56769775646609e-07,13.3257353655576
"FBgn0041180",-2.33863991116406,5.98272074821303,-14.3087247948008,6.96602082678155e-10,2.98212034441744e-07,13.1262642000442
"FBgn0035996",-3.13556695114174,3.75464642755697,-13.9296810549312,9.98966818226864e-10,4.08214167993614e-07,12.7371201930636
"FBgn0086346",-1.92139239865447,6.66830076736428,-13.711117838831,1.23460210745944e-09,4.82568388959144e-07,12.561357394473
"FBgn0259711",-5.33572777062155,6.24404331414274,-13.6007436846109,1.37549626202138e-09,4.9079753313327e-07,12.447717282492
"FBgn0005640",-1.62547711801226,4.66427040983475,-13.5850037883226,1.39694419501145e-09,4.9079753313327e-07,12.4407488644235
"FBgn0031662",-3.28205805088745,5.84257753918783,-13.5346589302206,1.46797104705704e-09,4.9079753313327e-07,12.3915494778837
"FBgn0016031",-3.17324073098133,5.85690566391728,-13.494689151714,1.52709707770398e-09,4.9079753313327e-07,12.3527328601354
"FBgn0052579",-2.13788703934242,3.99282389261027,-13.4936787954116,1.52862412989228e-09,4.9079753313327e-07,12.3491482894255
"FBgn0000395",-3.31915370404566,3.1676865536831,-13.3403844986602,1.78026813547048e-09,5.50494655521936e-07,12.1024781441793
"FBgn0261983",-1.6522104813824,4.68221856308894,-13.3090039505695,1.83702332209767e-09,5.50494655521936e-07,12.1684965354822
"FBgn0027335",-1.23486062262565,6.23702269044036,-13.267228827307,1.91558512450968e-09,5.55519686107806e-07,12.1284228690918
"FBgn0030268",-1.5234117899009,4.66390421255364,-13.0122580858151,2.47959011976323e-09,6.96609849270984e-07,11.8687822211398
"FBgn0004644",-2.68305575075239,3.93657939613406,-12.9296011443013,2.6984659283916e-09,7.3512753624971e-07,11.7886343241125
"FBgn0261113",-2.09286676195419,10.0613322220024,-12.8511569829922,2.92527845444297e-09,7.73478038395362e-07,11.6806785189379
"FBgn0040475",-1.79057385124208,6.60842435416334,-12.8124718128416,3.04452487698548e-09,7.82007961259984e-07,11.6699773187437
"FBgn0031799",-1.63592826136706,3.66929648399353,-12.7722156403054,3.17412377261429e-09,7.92649242105625e-07,11.6292560080523
"FBgn0265784",-1.29820131686954,5.17776763650651,-12.7221364922949,3.34359443552313e-09,8.12403080414944e-07,11.568397011567
"FBgn0039141",-1.415054870143,3.85041242159294,-12.6757185438331,3.50929006971549e-09,8.30224150703744e-07,11.5270734952121
"FBgn0260049",-1.23399089020869,6.42762817365805,-12.5733272885021,3.9064830946355e-09,8.78239726948518e-07,11.421108542204
"FBgn0001297",-2.92128834928743,7.19329283364773,-12.5730480592052,3.9076294858666e-09,8.78239726948518e-07,11.4237435964685
"FBgn0037782",3.36465907017595,7.26271337745035,12.5463823523413,4.01877355312337e-09,8.81189615672661e-07,11.3954251159482
"FBgn0259101",1.65458078350422,7.14419917504056,12.4526039377398,4.43713946664967e-09,9.49759138218584e-07,11.2972206540281
"FBgn0050157",-2.41479054511217,2.74052386432581,-12.394632516469,4.71875139901013e-09,9.86548257607003e-07,11.1815144723829
"FBgn0052369",-2.22479382295474,3.89561671886135,-12.3165653714199,5.12839444199922e-09,1.01165542431306e-06,11.1539657410393
"FBgn0011305",1.09154790686748,3.929292675691,12.2886183629788,5.28409888812033e-09,1.01165542431306e-06,11.113701777668
"FBgn0015001",3.22349343503608,7.27557785335683,12.2630798200631,5.43078593732911e-09,1.01165542431306e-06,11.0964766954607
"FBgn0031031",-5.99877077030179,-1.00670164181672,-12.2616301783103,5.43924118750878e-09,1.01165542431306e-06,8.56126054227996
"FBgn0028497",-0.863632700011635,4.48341605905986,-12.2381033755465,5.57844008745446e-09,1.01165542431306e-06,11.052990416303
"FBgn0000636",-1.6132345345223,4.88830366701124,-12.2259551177512,5.65179547614304e-09,1.01165542431306e-06,11.043815836319
"FBgn0005660",-5.23447692661029,4.06220656393042,-12.2134480462708,5.72839041372713e-09,1.01165542431306e-06,10.9935010703038
"FBgn0027561",-1.88848277603975,4.92207050842453,-12.211714961415,5.7390908387059e-09,1.01165542431306e-06,11.0306618564906
"FBgn0052576",1.57505116795449,4.6262069033761,12.1229678314868,6.3164832732267e-09,1.09202278127515e-06,10.9296991186863
"FBgn0040395",-1.50740919573265,3.26040842488545,-12.0901478345622,6.5453970800777e-09,1.10542491352094e-06,10.9139540591503
"FBgn0036806",-3.67021142932445,7.81163612544494,-12.076949364268,6.63992717799009e-09,1.10542491352094e-06,10.9001054854646
"FBgn0038829",1.80633204408526,6.2218948830324,12.0291074057131,6.99493626299246e-09,1.13591548589783e-06,10.8357571976777
"FBgn0051288",-2.86627214418135,8.40306374221196,-12.0185736200256,7.07578055731686e-09,1.13591548589783e-06,10.8369169754826
"FBgn0020388",-2.06537080616958,4.62677437453092,-11.9988628981274,7.22973674713804e-09,1.14026900625914e-06,10.8011660519187
"FBgn0037391",-2.6023792784149,5.30918145189789,-11.8182129728184,8.81855150335786e-09,1.36687548302047e-06,10.6041596714738
"FBgn0002973",-1.72269981016565,5.28431484292669,-11.7279371396027,9.74811192117636e-09,1.48534790120975e-06,10.4963330622369
"FBgn0034909",-3.30121907256893,5.32387811053823,-11.6182857824726,1.10193911879491e-08,1.64131068493319e-06,10.3885269239819
"FBgn0035708",-2.88332309669742,3.78127322362194,-11.6088440833216,1.11368133237958e-08,1.64131068493319e-06,10.3836417624553
"FBgn0037293",-1.58053556476626,5.81452347707484,-11.5748902919352,1.15701947704098e-08,1.65972500672561e-06,10.3265081450543
"FBgn0035806",-4.70869086024585,3.38258681484368,-11.5702349455405,1.1630998378611e-08,1.65972500672561e-06,10.2710469347212
"FBgn0028426",-1.81785518643725,3.57148726370704,-11.5469201815911,1.19406651380738e-08,1.6772903061138e-06,10.314492524893
"FBgn0033928",-4.02531048327629,6.50215523291531,-11.4879568077832,1.27635886917785e-08,1.76530249752444e-06,10.2440798163784
"FBgn0038455",-2.56390285582214,6.42651199087851,-11.3721083393845,1.45611692708439e-08,1.98340775371041e-06,10.1079605394954
"FBgn0010877",-1.02924986929951,4.22489024379638,-11.3161367331933,1.55243598775282e-08,2.07374071425644e-06,10.0260748453565
"FBgn0015277",1.05675715767067,3.42208714232092,11.3005332954736,1.58047783594007e-08,2.07374071425644e-06,10.028559094149
"FBgn0265178",1.3078996847288,6.06793410124415,11.2874366674389,1.60443002477254e-08,2.07374071425644e-06,9.99693176515444
"FBgn0261064",-1.14187268785007,4.29935998606839,-11.2729797111972,1.63131865451916e-08,2.07374071425644e-06,9.97612734264667
"FBgn0050108",-2.249323088391,5.5272998811868,-11.2695483339987,1.63777075319474e-08,2.07374071425644e-06,9.97776691058298
"FBgn0050115",-1.90932362534872,5.66714526125504,-11.2116074375422,1.75091195495002e-08,2.16492986763007e-06,9.9099147395318
"FBgn0263241",-2.98602901486971,6.12923770293048,-11.2043716150148,1.76561425359791e-08,2.16492986763007e-06,9.91292752452049
"FBgn0024321",-2.22841325222841,3.94660391315845,-11.1963660768862,1.78203348392242e-08,2.16492986763007e-06,9.90717746934548
"FBgn0037345",-4.20448385556047,4.09734535885297,-11.1844079136448,1.80686231685361e-08,2.16582563046853e-06,9.9116273262936
"FBgn0038747",-1.2588718926843,5.10883515124958,-11.1467525251579,1.88747653382805e-08,2.22799446431366e-06,9.82371647452013
"FBgn0036376",-0.908402372821616,5.77242699330738,-11.1373062078395,1.90829336765464e-08,2.22799446431366e-06,9.81845446108851
"FBgn0036187",-2.45492044835102,4.06403398400035,-11.1230419341631,1.94019104010419e-08,2.2336492988489e-06,9.81756322456724
"FBgn0001978",-1.28676536933277,4.82809988682045,-11.1130689867095,1.96282863858802e-08,2.2336492988489e-06,9.78430644777386
"FBgn0032793",-2.11457958036166,4.25969237667622,-11.0862838221107,2.02502838973505e-08,2.26010507635324e-06,9.76959453725889
"FBgn0010228",1.76211907777559,6.53844430433121,11.0814994687607,2.03635718781549e-08,2.26010507635324e-06,9.76892575094644
"FBgn0050109",-2.18638953331121,5.93061609266467,-11.068953585083,2.06638534160701e-08,2.26546392939598e-06,9.74465110036437
"FBgn0259238",1.38120332588115,8.18326239722548,11.0349197403718,2.15023761900855e-08,2.32899231263697e-06,9.73276967925586
"FBgn0016081",-1.76521904467255,4.5727624511607,-11.0242662548825,2.1772225678034e-08,2.33014653387531e-06,9.68702094379808
"FBgn0019890",-1.40332332303553,5.06268940383078,-10.9746218939354,2.30780023213975e-08,2.44083812787487e-06,9.62194146438236
"FBgn0013347",1.22769908580591,6.08059997065448,10.943032304321,2.39520070558309e-08,2.50382027246418e-06,9.59306269003819
"FBgn0001989",1.23040914508969,6.74986170948108,10.9181209205582,2.46660198492377e-08,2.5488220510879e-06,9.5751835501871
"FBgn0028515",-1.47294525911841,6.29323670990726,-10.901940584424,2.51418674275041e-08,2.55433669351788e-06,9.54965323646837
"FBgn0037720",-2.33937814950887,5.29402408854098,-10.8970485590244,2.52876491349378e-08,2.55433669351788e-06,9.53961142727261
"FBgn0264994",-2.66693638161118,2.37274013496362,-10.8331520117204,2.72764278494598e-08,2.72461207074049e-06,9.45747209377168
"FBgn0010278",-2.05655322148542,4.78036108949119,-10.8026605127992,2.82834200343949e-08,2.79415325394736e-06,9.42344192883138
"FBgn0042185",-3.093586134266,4.55553949649675,-10.7846484730171,2.88967600375201e-08,2.82183989686913e-06,9.42569306658879
"FBgn0033971",-1.402242942458,3.27115883005697,-10.7761382120465,2.9191447208991e-08,2.82183989686913e-06,9.4290233534571
"FBgn0036237",-2.20018734954599,6.27869221522348,-10.7645291453132,2.95985935489516e-08,2.83075910643696e-06,9.38842626972785
"FBgn0039260",-1.10453970818906,5.45590291101181,-10.6964021946595,3.21126732559764e-08,3.03887297443398e-06,9.28765987573489
"FBgn0031285",1.66975673935413,8.13952099425433,10.668949071938,3.31890111909335e-08,3.08316531151689e-06,9.30029376259868
"FBgn0020389",-1.06257332741278,4.42647779057305,-10.6628968432802,3.3431410834924e-08,3.08316531151689e-06,9.24728046122492
"FBgn0038897",-1.74527261752423,4.09551216784742,-10.6584777424605,3.36095884903955e-08,3.08316531151689e-06,9.2656579027811
"FBgn0038953",-2.54317621820347,3.85693805893997,-10.5795443707654,3.69679247042135e-08,3.3530554480917e-06,9.17623996416803
