"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0265137",-3.5895627774842,7.36957885278352,-22.3814925486001,1.10887995521244e-12,1.00032060759714e-08,19.14420129371
"FBgn0051633",-4.58818015031895,5.69677256282748,-21.2083072038532,2.37506171391463e-12,1.07127158606119e-08,18.4627014421231
"FBgn0051216",-6.0064570815038,4.89201160781606,-19.6654098212459,6.88552372523103e-12,2.07047698417697e-08,17.2944445179742
"FBgn0033153",-5.78643551238424,7.84543365417172,-18.8094739193655,1.28586668889637e-11,2.50431717813408e-08,16.9284842114739
"FBgn0264704",-6.46648466811431,3.62866578311594,-18.7070951426578,1.388048541256e-11,2.50431717813408e-08,16.0584294620411
"FBgn0015351",-3.89451458074177,5.02671608727814,-18.1560956386563,2.10896546512967e-11,3.17082957682246e-08,16.4564956662036
"FBgn0051694",-4.60678795680476,7.42605168700687,-17.4515399813915,3.66353495137653e-11,4.72124982805253e-08,15.9474643138177
"FBgn0031643",-3.63449613592005,5.56325341116317,-17.1535678911661,4.65594519413483e-11,5.11379355519075e-08,15.725204061925
"FBgn0031033",-7.15989825573399,6.00443968138426,-17.0411026610251,5.10188914718066e-11,5.11379355519075e-08,15.5121692060139
"FBgn0030839",-2.54955583386222,3.72836305640224,-16.567649527271,7.54422315894416e-11,6.80564371168353e-08,15.2296486553499
"FBgn0033438",-3.43979750645847,3.00002143699355,-16.2228912799751,1.00950911043929e-10,7.22988918559222e-08,14.7840219348824
"FBgn0032805",-2.84228599675201,5.23352602650223,-16.1104667649065,1.11143741350906e-10,7.22988918559222e-08,14.9012304710573
"FBgn0024360",-2.45945824102085,4.67404254223289,-16.0584147815236,1.16229271980292e-10,7.22988918559222e-08,14.8596059309788
"FBgn0041205",-2.32641819038012,6.91217776974444,-16.0531032680092,1.16761977246374e-10,7.22988918559222e-08,14.8420591946816
"FBgn0053158",-3.63226099578641,4.47809410757269,-15.966502966615,1.25824179542879e-10,7.22988918559222e-08,14.7668886992041
"FBgn0041180",-2.62995552402255,6.02880672916351,-15.9446072009194,1.28232154937895e-10,7.22988918559222e-08,14.7591006058579
"FBgn0027601",-3.5346553682656,5.48710687820341,-15.4139530246201,2.04497811076155e-10,1.07766893523837e-07,14.3076369412756
"FBgn0036766",-2.51700749117538,12.6141393571038,-15.3577935846016,2.15032045607923e-10,1.07766893523837e-07,14.2368650933492
"FBgn0000395",-3.35833107894738,3.22383839578743,-15.1012415527969,2.71062973541499e-10,1.28662903365963e-07,13.9132186104502
"FBgn0035996",-3.22209249294003,3.80300924686628,-15.0452287313163,2.85251975093589e-10,1.28662903365963e-07,13.9520384010761
"FBgn0004644",-2.86755993295067,3.98381852325133,-14.5951110770779,4.32506809195861e-10,1.85792567893136e-07,13.5719701053156
"FBgn0052579",-2.26135047714324,4.03876536505679,-14.5008246735817,4.72584602654525e-10,1.87127030754969e-07,13.4902438610695
"FBgn0023388",-1.45080314716455,4.47277031085461,-14.4907384117141,4.77100289032733e-10,1.87127030754969e-07,13.4905094134676
"FBgn0031450",-1.91436756055382,5.68712080352171,-14.2196987248346,6.17376632430696e-10,2.32056441714888e-07,13.2349009735765
"FBgn0001297",-3.26375782490928,7.26488014814935,-14.0929687238142,6.97480490947871e-10,2.5167886035363e-07,13.111341315985
"FBgn0039003",-2.00398564628664,3.12144851013394,-13.9303419364112,8.16832934799764e-10,2.78634922665436e-07,12.9431835155489
"FBgn0033051",-2.08318653846997,5.4994855297675,-13.9091012553229,8.33958863980353e-10,2.78634922665436e-07,12.9391569255058
"FBgn0005660",-5.37525977709054,4.15103817916264,-13.7892477972425,9.38032174917869e-10,3.02213866069075e-07,12.7520509372182
"FBgn0086346",-2.24327844788975,6.72817937924837,-13.7394612310579,9.8525016115467e-10,3.06480748406078e-07,12.7719872667805
"FBgn0016031",-3.4570644425123,5.92802975145905,-13.4777341083043,1.27874237629467e-09,3.84517832551808e-07,12.5164543769308
"FBgn0015754",-1.58330701857389,6.17937042602695,-13.4242991022167,1.34938106586459e-09,3.92669890166594e-07,12.4635772510233
