"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0265137",-3.69124771527811,7.27924868065031,-22.5613750038892,1.33480872737951e-12,1.19999304591418e-08,18.7968458247599
"FBgn0051216",-5.19290802769672,4.79890362349888,-17.6349132762775,4.05692470067616e-11,1.02462246814703e-07,15.5890139709139
"FBgn0032805",-3.09771294178253,5.18832358478374,-17.622169584322,4.09741449079852e-11,1.02462246814703e-07,15.8180154171507
"FBgn0033051",-2.49511745495917,5.45918556459491,-17.4857364226335,4.55894312857411e-11,1.02462246814703e-07,15.7365059478669
"FBgn0041205",-2.29277321169389,6.84302998482103,-16.8209506567098,7.75485588241587e-11,1.05236272306155e-07,15.1994193719472
"FBgn0033153",-5.76422711392313,7.6678161838154,-16.8075427808441,7.83992344641049e-11,1.05236272306155e-07,15.1027463123122
"FBgn0051633",-3.40714863191512,5.6224917559715,-16.7533325609545,8.19414801049036e-11,1.05236272306155e-07,15.1572351754264
"FBgn0015754",-1.35151418883861,6.14328819637626,-16.4970950900626,1.01155558622891e-10,1.13673559002474e-07,14.9826096398807
"FBgn0031450",-1.9082167879472,5.65348075803388,-16.3005443923304,1.19135881013487e-10,1.19003507812361e-07,14.8325365927944
"FBgn0015351",-3.5644165108067,4.9694174688186,-16.0092418884253,1.52330011500259e-10,1.36944680338732e-07,14.5549745181867
"FBgn0264704",-7.85811144421891,3.48419286355725,-15.8293503755831,1.77656592903571e-10,1.45193888200282e-07,12.818658957356
"FBgn0033438",-3.49959221803348,2.94520880212419,-15.5684535858465,2.22678012006173e-10,1.66822943994625e-07,13.8739423098095
"FBgn0024360",-2.34041288074212,4.636156552049,-14.6243217286702,5.19250753259608e-10,3.59081867061837e-07,13.4062376761654
"FBgn0040395",-1.90916229738314,3.26040842488545,-14.5050691191381,5.79839589041371e-10,3.71024254863508e-07,13.2664307109308
"FBgn0031033",-6.25531257814634,5.86660344049231,-14.4347500489792,6.19061604332883e-10,3.71024254863508e-07,13.1745091956781
"FBgn0051694",-3.10134694100087,7.32239565691644,-14.3268967568138,6.84810393177604e-10,3.84777839666666e-07,13.1187419686976
"FBgn0023388",-1.35550072403498,4.43879203011933,-14.2614981819737,7.28270342177794e-10,3.85126492716374e-07,13.0832112230905
"FBgn0040475",-2.17109764709362,6.60842435416334,-14.1329131996363,8.2252286355636e-10,4.1080447463176e-07,12.9510778440254
"FBgn0265784",-1.58616117122231,5.17776763650651,-14.0473708137603,8.92368151375091e-10,4.21292374558914e-07,12.8827103738032
"FBgn0027601",-3.03645331718622,5.43016369358529,-13.9682016455454,9.62656040882537e-10,4.21292374558914e-07,12.8007305183618
"FBgn0027561",-2.4033283186306,4.92207050842453,-13.9452599286029,9.8410899507644e-10,4.21292374558914e-07,12.7834163716548
"FBgn0052579",-2.32164576975384,3.99282389261027,-13.8348740670173,1.09469364672231e-09,4.47331631092436e-07,12.6745767355196
"FBgn0038829",2.18201764240498,6.2218948830324,13.6076254771489,1.36622921754835e-09,5.24967290750093e-07,12.4628834422287
"FBgn0020389",-1.47429226529764,4.42647779057305,-13.5505169334303,1.44519246607908e-09,5.24967290750093e-07,12.4075901764691
"FBgn0031662",-3.68353688621726,5.84257753918783,-13.5337752367947,1.46925158568002e-09,5.24967290750093e-07,12.3827147150549
"FBgn0015277",1.426034623642,3.42208714232092,13.5005578880443,1.51825912786456e-09,5.24967290750093e-07,12.3455036417878
"FBgn0086346",-2.0686447289687,6.66830076736428,-13.4607188071436,1.57934221328879e-09,5.2586246286912e-07,12.3143866707186
"FBgn0016031",-3.52177451344072,5.85690566391728,-13.3722200793004,1.72459332904566e-09,5.53717643861444e-07,12.2271075649388
"FBgn0030839",-2.10465239196476,3.68236439546757,-13.0686640716934,2.34112372290596e-09,7.25748354100848e-07,11.925298243083
"FBgn0261064",-1.44283686981959,4.29935998606839,-13.0319343458762,2.43032361627173e-09,7.28286977009428e-07,11.8927186927339
"FBgn0027335",-1.32073990979536,6.23702269044036,-12.9290777863982,2.69991557238545e-09,7.37767465763943e-07,11.7892985331034
"FBgn0039141",-1.58687105078678,3.85041242159294,-12.9228668029571,2.71718273768125e-09,7.37767465763943e-07,11.7829080146038
"FBgn0261113",-2.2947223453689,10.0613322220024,-12.8857908832719,2.822732741643e-09,7.37767465763943e-07,11.6970981318891
"FBgn0038747",-1.6092673315905,5.10883515124958,-12.873004244593,2.86013938824327e-09,7.37767465763943e-07,11.7308759371072
"FBgn0031799",-1.78207407259842,3.66929648399353,-12.8643199456668,2.88584543889174e-09,7.37767465763943e-07,11.7225497092946
"FBgn0265178",1.60375814048565,6.06793410124415,12.8295712175962,2.99119046069399e-09,7.37767465763943e-07,11.6863839776208
"FBgn0004644",-3.02893232981376,3.93657939613406,-12.8150503548788,3.0364178235001e-09,7.37767465763943e-07,11.6613163799266
"FBgn0001297",-3.29724860777212,7.19329283364773,-12.7681002436201,3.18769966174358e-09,7.45221092140835e-07,11.62103327264
"FBgn0260049",-1.36537600241829,6.42762817365805,-12.7545363363919,3.23288349204589e-09,7.45221092140835e-07,11.6111641617403
"FBgn0010228",2.09059425758487,6.53844430433121,12.5663131813333,3.93538860432414e-09,8.79571690015169e-07,11.4143814695551
"FBgn0261983",-1.69802074652853,4.68221856308894,-12.5481282103556,4.0113948042961e-09,8.79571690015169e-07,11.3943160400872
"FBgn0039877",1.59391908938626,3.3874087156817,12.4661127675543,4.37412047952627e-09,9.16853455542397e-07,11.3071350140955
"FBgn0260450",-2.03600856134888,3.22400977157389,-12.4636808593615,4.38539472617609e-09,9.16853455542397e-07,11.3048644917751
"FBgn0052576",1.75390755179761,4.6262069033761,12.3893574982655,4.74530379792073e-09,9.69551844166076e-07,11.2244915926496
"FBgn0005640",-1.59490159859494,4.66427040983475,-12.2718137435321,5.3801389851588e-09,1.06305346410368e-06,11.1007805800712
"FBgn0030268",-1.5690656795097,4.66390421255364,-12.261598145583,5.43942818117567e-09,1.06305346410368e-06,11.0898501885379
"FBgn0011305",1.19490952342381,3.929292675691,12.1568871101446,6.08882504546984e-09,1.16464972678242e-06,10.9807932129495
"FBgn0067102",-2.36052419002177,4.66215663143475,-12.0931386065941,6.52417611343443e-09,1.21857346800315e-06,10.9131662533932
"FBgn0046214",1.18726113993244,6.91103424238182,12.0766850013233,6.64183536508948e-09,1.21857346800315e-06,10.8969433479459
"FBgn0000636",-1.74154566555509,4.88830366701124,-12.0410333897914,6.90459119527607e-09,1.23735933955445e-06,10.8519922516422
"FBgn0036376",-1.07564697116888,5.77242699330738,-12.0258928751668,7.01950237122103e-09,1.23735933955445e-06,10.8363986669672
"FBgn0034573",1.18661994766257,4.9617922950217,11.9541710930942,7.59216493637461e-09,1.31256851496169e-06,10.7481271101988
"FBgn0061492",1.2501738435567,5.39799180686204,11.8670511578163,8.35537592434965e-09,1.41726093509252e-06,10.6531180078253
"FBgn0035977",-3.16081936309256,3.00855863701723,-11.8401287076714,8.6074158819935e-09,1.43297534776151e-06,10.6181513883446
"FBgn0005660",-6.56164284342481,4.06220656393042,-11.7917688472934,9.08066914427342e-09,1.48427664740033e-06,10.4037188813137
"FBgn0028515",-1.7614716825396,6.29323670990726,-11.7520988065647,9.48953260676626e-09,1.50174854804662e-06,10.5416828581908
"FBgn0038897",-2.04761102211385,4.09551216784742,-11.7490595804079,9.5216537529096e-09,1.50174854804662e-06,10.5362069081256
"FBgn0002973",-1.89331707327716,5.28431484292669,-11.707723412216,9.9701950267697e-09,1.5453802291493e-06,10.4855613774667
"FBgn0026787",1.2288906590192,4.67986082330988,11.649921456083,1.06354494485986e-08,1.62055407699833e-06,10.4106416562762
"FBgn0022343",1.09538752586073,6.10770394004699,11.5779362866054,1.15305938625044e-08,1.69567808243888e-06,10.3374004205986
"FBgn0010877",-1.14179949769682,4.22489024379638,-11.5673129495938,1.16693360660519e-08,1.69567808243888e-06,10.3238258313214
"FBgn0037009",1.33927816444248,5.41676288261972,11.5654133462601,1.16943316030267e-08,1.69567808243888e-06,10.3144800782952
"FBgn0035806",-6.71265100193261,3.38258681484368,-11.529282825536,1.21807421204376e-08,1.72272942902824e-06,9.88281189247589
"FBgn0052369",-2.2437037857603,3.89561671886135,-11.5232417724489,1.22641472144391e-08,1.72272942902824e-06,10.2896103565631
"FBgn0024273",-1.67860364128518,6.36710965308059,-11.4862282241799,1.27886048506424e-08,1.76876242472731e-06,10.2442377803951
"FBgn0034451",-1.84307196997116,5.18304973009312,-11.4664831973039,1.3078082067687e-08,1.78139329982586e-06,10.2125608167464
"FBgn0029891",1.20116397552928,5.78168862612167,11.4121306748541,1.3911490982871e-08,1.86663140203001e-06,10.144207880094
"FBgn0050157",-2.3228748364291,2.74052386432581,-11.3920857815485,1.42329387472879e-08,1.88167822556056e-06,10.127224531222
"FBgn0014018",-3.70750906015089,7.2854801531331,-11.3701245547549,1.45941992424698e-08,1.90147610420005e-06,10.1215331772811
"FBgn0030893",-1.22590086411333,5.64675532084786,-11.2033522167809,1.7676960630336e-08,2.26414639068717e-06,9.90887925473694
"FBgn0050456",-1.60547521409261,6.96453635810779,-11.1934054238659,1.78814676016451e-08,2.26414639068717e-06,9.91523667688647
"FBgn0037293",-1.67434641279191,5.81452347707484,-11.1486370181857,1.88335261885928e-08,2.29873096073649e-06,9.84913711508402
"FBgn0000568",-3.17031174098723,5.11894272798087,-11.1473544562941,1.88615826099579e-08,2.29873096073649e-06,9.85726166861894
"FBgn0052594",-1.80753061502016,3.83461619332978,-11.1446130398295,1.89217009003894e-08,2.29873096073649e-06,9.85444696894936
"FBgn0032006",-1.91833905912794,5.20856930433462,-11.1161853004449,1.95572492621668e-08,2.34426227822507e-06,9.80884409088903
"FBgn0050115",-2.05986260907247,5.66714526125504,-10.9991640946851,2.24223811650703e-08,2.62041586839927e-06,9.67482086929477
"FBgn0028497",-0.842750088054009,4.48341605905986,-10.9883785971433,2.27080350416136e-08,2.62041586839927e-06,9.64744655628224
"FBgn0044826",-1.47253818045654,5.92821374129006,-10.9873479795152,2.27355325623073e-08,2.62041586839927e-06,9.65982479967299
"FBgn0031643",-2.27246342577461,5.50003355421449,-10.9577394696172,2.35408018694017e-08,2.67888365577116e-06,9.62557858220794
"FBgn0042102",-2.79384119048943,7.22656703227137,-10.88170480451,2.57507437105233e-08,2.86905314089767e-06,9.55560552161338
"FBgn0022984",1.35013492110135,4.54106913351252,10.8784477203046,2.5850200713316e-08,2.86905314089767e-06,9.51805021863829
"FBgn0015001",3.04795930512589,7.27557785335683,10.8270542640505,2.7474719605692e-08,3.01216742994111e-06,9.48039001136463
"FBgn0034909",-3.35456305583892,5.32387811053823,-10.8014035715751,2.83257690386436e-08,3.06805618864344e-06,9.45151063560292
"FBgn0030318",-1.51130422053758,5.82386915915654,-10.7862790677961,2.88406584720167e-08,3.08663713885036e-06,9.41844152128881
"FBgn0031285",1.79159829852728,8.13952099425433,10.7666700373673,2.95230583790067e-08,3.08900532585376e-06,9.41998652243438
"FBgn0001104",-1.68645681061128,6.31619119219585,-10.7659058972413,2.95499953307479e-08,3.08900532585376e-06,9.40248603018427
"FBgn0036237",-2.42665635905384,6.27869221522348,-10.7071987179066,3.16995891883534e-08,3.25426266473021e-06,9.33623152233728
"FBgn0030724",1.17965035190498,6.31606784336319,10.7031232968234,3.1854851445635e-08,3.25426266473021e-06,9.31864503277176
"FBgn0260632",-1.90618386229128,5.86080822785492,-10.6797738172322,3.27601073159466e-08,3.30913893000405e-06,9.29460304779092
"FBgn0035360",-1.65104683663977,8.28598623084723,-10.645303336599,3.41467879087843e-08,3.41088470333301e-06,9.2794820585609
"FBgn0041191",1.47659245880845,6.68095340974889,10.6287954184008,3.48328141614345e-08,3.44117581660765e-06,9.23348958675127
"FBgn0033802",1.58726070873478,4.2250933030404,10.6068376317293,3.57680825367121e-08,3.4951637174461e-06,9.19982913182592
"FBgn0041180",-1.8528234841279,5.98272074821303,-10.5412212712426,3.87252811618376e-08,3.74344384564431e-06,9.12436001466654
"FBgn0036887",1.23119700122053,5.24821057699357,10.518971088205,3.97861008591037e-08,3.80507496514194e-06,9.07522746248866
"FBgn0002524",-2.64566927854154,6.63462853397848,-10.4932584632248,4.10505441850507e-08,3.86559824625613e-06,9.08071393079038
"FBgn0040080",-1.21240293858646,3.89131994802708,-10.4887042656739,4.12789134194203e-08,3.86559824625613e-06,9.06096681514252
"FBgn0259711",-4.43755118116144,6.24404331414274,-10.4151153296049,4.5162054530529e-08,4.18563783741707e-06,8.99512131543332
"FBgn0250906",1.25872042602074,6.70815403717724,10.3847505696053,4.68757075016316e-08,4.27779723786998e-06,8.93572702063177
"FBgn0031049",1.67307937345332,6.53782032415364,10.380580206994,4.71164014538055e-08,4.27779723786998e-06,8.92526346267287
"FBgn0086442",-1.21883206225652,4.38917926823551,-10.3725434718315,4.75839514779753e-08,4.27779723786998e-06,8.90258159378996
"FBgn0050109",-2.27509267863107,5.93061609266467,-10.3462957626167,4.91455651325268e-08,4.37444188654867e-06,8.88975780866397
"FBgn0050345",-2.72143186588918,6.2045813084993,-10.3276013378455,5.02909061976802e-08,4.43250241879554e-06,8.87116309854761
"FBgn0027066",-1.22953116210924,6.57200973698408,-10.2857131093876,5.29613517717573e-08,4.62254905269998e-06,8.81832742354938
"FBgn0033928",-3.99701780504088,6.50215523291531,-10.2767926797512,5.35492423439294e-08,4.6289200833839e-06,8.81993486609265
"FBgn0011016",1.52384980458384,7.00371349790324,10.2609396387948,5.46111729448805e-08,4.67575661689977e-06,8.78816406610461
"FBgn0033426",1.60314181044595,3.42773897285475,10.2453860900933,5.56747806481766e-08,4.70453873460124e-06,8.78882764860671
"FBgn0035405",-1.60482687108626,3.60331648721404,-10.2407801397298,5.59939537933629e-08,4.70453873460124e-06,8.76284313451494
"FBgn0013347",1.22963981701541,6.08059997065448,10.2220128503125,5.73146595137249e-08,4.7709147132258e-06,8.71785207802671
"FBgn0038577",1.08464548872949,5.00840687908578,10.1984642880816,5.90187624158078e-08,4.86769425796433e-06,8.67215116079877
"FBgn0263916",1.21371548996318,5.04023374764892,10.1798821550686,6.04013927818069e-08,4.88144642526508e-06,8.64938611393124
"FBgn0003557",-2.01580626432985,6.40681455626163,-10.1779370300782,6.0548096846797e-08,4.88144642526508e-06,8.6848783020272
"FBgn0034577",-1.4045798030828,6.79215770654646,-10.1744181056881,6.08144604704882e-08,4.88144642526508e-06,8.68273626048855
"FBgn0264895",-2.1970280473723,3.55816616326929,-10.1420510620422,6.3323585357979e-08,5.00692387540108e-06,8.65731635115357
"FBgn0036258",0.984166573371714,6.71653528645809,10.1287978060843,6.43824763770281e-08,5.00692387540108e-06,8.61483150019462
"FBgn0036844",-2.58412763691475,4.32410371515351,-10.1237677564119,6.47892640336632e-08,5.00692387540108e-06,8.61423628924836
"FBgn0250876",1.64964099413626,3.47938034340915,10.1200248614109,6.50937264253677e-08,5.00692387540108e-06,8.63098960125961
"FBgn0030685",-1.36010682821366,5.46587344937115,-10.1090687841513,6.59936943404246e-08,5.00692387540108e-06,8.57575067077598
"FBgn0035469",1.13990821728882,5.2649301176871,10.1010009127358,6.66648497744688e-08,5.00692387540108e-06,8.55108438835222
"FBgn0250823",-1.24020545623005,6.26110156574738,-10.0995714466707,6.67845183496175e-08,5.00692387540108e-06,8.57684586585753
"FBgn0031317",-1.99433815108659,5.2289440031848,-10.098990184871,6.68332441655317e-08,5.00692387540108e-06,8.56871001322661
"FBgn0028327",1.90708817774137,6.82722755006278,10.055285722748,7.06071249088672e-08,5.19759329869613e-06,8.52380067623749
"FBgn0052982",-3.58200041739234,5.18655341524096,-10.0498132436339,7.10953639830513e-08,5.19759329869613e-06,8.5304272980849
"FBgn0027844",1.36627475802858,8.13034445116969,10.0416662807788,7.18288578837826e-08,5.19759329869613e-06,8.53127050363484
"FBgn0003464",-1.50444933240029,4.86210210861125,-10.038339189383,7.21307097668199e-08,5.19759329869613e-06,8.4827267768586
"FBgn0037782",2.90699638433389,7.26271337745035,10.0307367934983,7.28255017255376e-08,5.19759329869613e-06,8.50186992162681
"FBgn0028380",-1.47965854185375,3.92386747012588,-10.0250794813831,7.33471352155005e-08,5.19759329869613e-06,8.48190886072616
"FBgn0043903",-1.99432828344324,4.73671598437768,-10.0242343498423,7.34254003264081e-08,5.19759329869613e-06,8.47287041767949
