"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0265137",-4.13044381160704,7.36946524915286,-24.0645819476214,3.97153744628115e-13,3.58272393029023e-09,20.0515190816998
"FBgn0033153",-6.64011404981883,7.84535561723337,-19.9300322601767,5.71720941732487e-12,2.57874730768438e-08,17.6696613448011
"FBgn0032805",-3.39131171411569,5.23289757281798,-17.5767387913103,3.32234879894798e-11,7.60341939190276e-08,16.0444797275872
"FBgn0033051",-2.81356748817773,5.50031607270295,-17.2700028854083,4.24545203184581e-11,7.60341939190276e-08,15.8219505453783
"FBgn0041205",-2.66978684409273,6.9123792088078,-17.1018257821516,4.8645125523461e-11,7.60341939190276e-08,15.6765922138871
"FBgn0264704",-7.96692416936168,3.62206405600713,-16.7999454958051,6.23007202049221e-11,7.60341939190276e-08,14.1308820678183
"FBgn0051216",-5.52739542488398,4.89242851012067,-16.750524263441,6.4901003721098e-11,7.60341939190276e-08,15.2805540982801
"FBgn0031033",-6.84409318045209,6.00358746744492,-16.7044659088395,6.74286167112538e-11,7.60341939190276e-08,15.3424307351917
"FBgn0015351",-3.89999948928802,5.02687900890554,-16.5593488159768,7.61020403570001e-11,7.62796117844998e-08,15.2382208052693
"FBgn0051633",-3.66481213158691,5.69653807250725,-15.8389431687263,1.40800801720524e-10,1.25446215748172e-07,14.6659138334526
"FBgn0260450",-2.26121528277057,3.2629321919274,-15.6896720641472,1.60448664061884e-10,1.25446215748172e-07,14.5123996647637
"FBgn0014018",-4.30978005052378,7.36405895213752,-15.6450620710504,1.66872252408609e-10,1.25446215748172e-07,14.5034303987235
"FBgn0024360",-2.55771516729227,4.67421837614634,-15.519739408964,1.86427847286079e-10,1.29366585412901e-07,14.4030643260392
"FBgn0001297",-3.80279143755255,7.26488248499892,-15.2967068999191,2.27522809250099e-10,1.41740198735565e-07,14.2031965524499
"FBgn0033438",-3.74791569707646,3.00023542864118,-15.2575503455023,2.3568373584231e-10,1.41740198735565e-07,13.9284733102974
"FBgn0052579",-2.47194509123604,4.0392369892754,-15.0247896464873,2.91094071877795e-10,1.64122476400599e-07,13.9675950899667
"FBgn0031450",-2.15508416340077,5.68690794715372,-14.771348982041,3.67559776838599e-10,1.88529792551199e-07,13.7428613877362
"FBgn0004644",-3.24094101425907,3.98487454180359,-14.7463618424198,3.76181827504887e-10,1.88529792551199e-07,13.6941438457486
"FBgn0040395",-2.11163531541787,3.30131654184958,-14.5654959105699,4.4538830430945e-10,2.07677676836867e-07,13.535157238106
"FBgn0023388",-1.55897101052196,4.47261010995021,-14.5301500272894,4.60431608107454e-10,2.07677676836867e-07,13.5259497286296
"FBgn0036766",-2.52797053000954,12.6141298642326,-14.3722751351236,5.3453991084052e-10,2.28096535380492e-07,13.3609985958727
"FBgn0040475",-2.47233182044023,6.65987293562874,-14.3175236002516,5.63124097080793e-10,2.28096535380492e-07,13.3204365244103
"FBgn0030839",-2.28104748004473,3.72865159702398,-14.2837638353663,5.81556403253666e-10,2.28096535380492e-07,13.2868452273643
"FBgn0016031",-3.8193344426383,5.92806011279074,-13.6814596667971,1.04500977945743e-09,3.80781436488949e-07,12.714765042854
"FBgn0027561",-2.63411274548874,4.95363632089558,-13.6716143829432,1.05526392996605e-09,3.80781436488949e-07,12.7068180644198
"FBgn0031662",-4.08771654292648,5.90854157679507,-13.6280546742335,1.10193419940921e-09,3.82328785110402e-07,12.6624497665563
"FBgn0042102",-3.22582833866099,7.29344869712086,-13.57292281963,1.16417368385488e-09,3.8896336303907e-07,12.6083835330709
